area_code,gss_code
mz_1411,E09000023
mz_986,E09000023
mz_1408,E09000023
mz_1409,E09000023
mz_845,E09000023
mz_433,E09000023
mz_545,E09000024
mz_1100,E09000024
mz_543,E09000024
mz_1003,E09000024
mz_542,E09000024
mz_544,E09000024
mz_1506,E09000024
mz_1000,E09000024
mz_549,E09000024
mz_1507,E09000024
mz_999,E09000024
mz_998,E09000024
mz_1001,E09000024
mz_1099,E09000024
mz_548,E09000024
mz_1505,E09000024
mz_546,E09000024
mz_997,E09000024
mz_547,E09000024
mz_1504,E09000024
mz_856,E09000024
mz_1316,E09000025
mz_1317,E09000025
mz_459,E09000025
mz_1384,E09000025
mz_963,E09000025
mz_957,E09000025
mz_858,E09000025
mz_1391,E09000025
mz_1524,E09000025
mz_1387,E09000025
mz_968,E09000025
mz_966,E09000025
mz_1383,E09000025
mz_964,E09000025
mz_1386,E09000025
mz_458,E09000025
mz_754,E09000025
mz_1380,E09000025
mz_859,E09000025
mz_1382,E09000025
mz_965,E09000025
mz_956,E09000025
mz_969,E09000025
mz_1388,E09000025
mz_958,E09000025
mz_1381,E09000025
mz_959,E09000025
mz_857,E09000025
mz_1385,E09000025
mz_955,E09000025
mz_1043,E09000026
mz_1048,E09000026
mz_1042,E09000026
mz_705,E09000026
mz_709,E09000026
mz_1039,E09000026
mz_1040,E09000026
mz_707,E09000026
mz_1047,E09000026
mz_1046,E09000026
mz_1045,E09000026
mz_1394,E09000026
mz_1033,E09000026
mz_711,E09000026
mz_1044,E09000026
mz_1035,E09000026
mz_1038,E09000026
mz_1049,E09000026
mz_1031,E09000026
mz_1032,E09000026
mz_1034,E09000026
mz_702,E09000026
mz_706,E09000026
mz_1041,E09000026
mz_1396,E09000026
mz_710,E09000026
mz_1395,E09000026
mz_1037,E09000026
mz_703,E09000026
mz_708,E09000026
mz_1036,E09000026
mz_704,E09000026
mz_577,E09000027
mz_1476,E09000027
mz_1477,E09000027
mz_1106,E09000027
mz_1103,E09000027
mz_1329,E09000027
mz_1330,E09000027
mz_578,E09000027
mz_1104,E09000027
mz_581,E09000027
mz_1492,E09000027
mz_576,E09000027
mz_1493,E09000027
mz_1102,E09000027
mz_1101,E09000027
mz_580,E09000027
mz_1105,E09000027
mz_582,E09000027
mz_579,E09000027
mz_1418,E09000028
mz_769,E09000028
mz_1419,E09000028
mz_1422,E09000028
mz_1420,E09000028
mz_1583,E09000028
mz_1575,E09000028
mz_1576,E09000028
mz_777,E09000028
mz_765,E09000028
mz_764,E09000028
mz_766,E09000028
mz_1290,E09000028
mz_1478,E09000028
mz_885,E09000028
mz_773,E09000028
mz_1480,E09000028
mz_1421,E09000028
mz_772,E09000028
mz_767,E09000028
mz_884,E09000028
mz_886,E09000028
mz_870,E09000028
mz_775,E09000028
mz_776,E09000028
mz_1479,E09000028
mz_768,E09000028
mz_774,E09000028
mz_770,E09000028
mz_771,E09000028
mz_1488,E09000028
mz_1085,E09000029
mz_1086,E09000029
mz_1098,E09000029
mz_1097,E09000029
mz_530,E09000029
mz_1090,E09000029
mz_1084,E09000029
mz_1096,E09000029
mz_1095,E09000029
mz_1093,E09000029
mz_1091,E09000029
mz_534,E09000029
mz_1088,E09000029
mz_532,E09000029
mz_533,E09000029
mz_1094,E09000029
mz_1089,E09000029
mz_531,E09000029
mz_1087,E09000029
mz_1092,E09000029
mz_862,E09000030
mz_864,E09000030
mz_865,E09000030
mz_1545,E09000030
mz_1544,E09000030
mz_871,E09000030
mz_1364,E09000030
mz_1365,E09000030
mz_873,E09000030
mz_875,E09000030
mz_879,E09000030
mz_876,E09000030
mz_878,E09000030
mz_852,E09000030
mz_850,E09000030
mz_867,E09000030
mz_872,E09000030
mz_874,E09000030
mz_461,E09000030
mz_1539,E09000030
mz_869,E09000030
mz_866,E09000030
mz_1679,E09000030
mz_1500,E09000030
mz_1681,E09000030
mz_860,E09000030
mz_851,E09000030
mz_1011,E09000031
mz_1013,E09000031
mz_1025,E09000031
mz_1023,E09000031
mz_1028,E09000031
mz_1030,E09000031
mz_1029,E09000031
mz_712,E09000031
mz_1017,E09000031
mz_1016,E09000031
mz_1012,E09000031
mz_1015,E09000031
mz_714,E09000031
mz_713,E09000031
mz_1019,E09000031
mz_1027,E09000031
mz_1022,E09000031
mz_1389,E09000031
mz_1021,E09000031
mz_716,E09000031
mz_1498,E09000031
mz_717,E09000031
mz_1018,E09000031
mz_1024,E09000031
mz_1026,E09000031
mz_1390,E09000031
mz_908,E09000032
mz_909,E09000032
mz_921,E09000032
mz_439,E09000032
mz_442,E09000032
mz_913,E09000032
mz_853,E09000032
mz_916,E09000032
mz_1438,E09000032
mz_912,E09000032
mz_438,E09000032
mz_925,E09000032
mz_924,E09000032
mz_441,E09000032
mz_923,E09000032
mz_907,E09000032
mz_763,E09000032
mz_911,E09000032
mz_920,E09000032
mz_910,E09000032
mz_905,E09000032
mz_854,E09000032
mz_444,E09000032
mz_762,E09000032
mz_437,E09000032
mz_914,E09000032
mz_915,E09000032
mz_1439,E09000032
mz_855,E09000032
mz_440,E09000032
mz_917,E09000032
mz_919,E09000032
mz_918,E09000032
mz_935,E09000033
mz_936,E09000033
mz_1460,E09000033
mz_758,E09000033
mz_761,E09000033
mz_1461,E09000033
mz_931,E09000033
mz_937,E09000033
mz_1431,E09000033
mz_1434,E09000033
mz_757,E09000033
mz_756,E09000033
mz_1433,E09000033
mz_929,E09000033
mz_934,E09000033
mz_933,E09000033
mz_1581,E09000033
mz_938,E09000033
mz_1327,E09000033
mz_1572,E09000033
mz_760,E09000033
mz_932,E09000033
mz_930,E09000033
mz_312,E08000001
mz_312,E08000002
mz_312,E08000003
mz_312,E08000004
mz_312,E08000005
mz_312,E08000006
mz_312,E08000007
mz_312,E08000008
mz_312,E08000009
mz_312,E08000010
mz_312,E08000011
mz_312,E08000012
mz_312,E08000013
mz_312,E08000014
mz_312,E08000015
mz_304,E08000016
mz_304,E08000017
mz_304,E08000018
mz_304,E08000019
mz_279,E08000037
mz_279,E08000021
mz_279,E08000022
mz_279,E08000023
mz_279,E08000024
mz_316,E08000025
mz_311,E08000025
mz_316,E08000026
mz_316,E08000027
mz_316,E08000028
mz_316,E08000029
mz_316,E08000030
mz_316,E08000031
mz_317,E08000031
mz_304,E08000032
mz_304,E08000033
mz_304,E08000034
mz_304,E08000035
mz_278,E08000035
mz_304,E08000036
mz_279,E06000001
mz_279,E06000002
mz_279,E06000003
mz_279,E06000004
mz_279,E06000005
mz_312,E06000006
mz_312,E06000007
mz_312,E06000008
mz_312,E06000009
mz_278,E06000010
mz_278,E06000011
mz_278,E06000012
mz_278,E06000013
mz_278,E06000014
mz_306,E06000015
mz_307,E06000016
mz_307,E06000017
mz_310,E06000018
mz_311,E06000019
mz_318,E06000020
mz_317,E06000021
mz_324,E06000022
mz_324,E06000023
mz_324,E06000024
mz_330,E06000025
mz_324,E06000025
mz_321,E06000026
mz_321,E06000027
mz_407,E06000058
mz_326,E06000030
mz_413,E06000031
mz_132,E06000032
mz_128,E06000033
mz_127,E06000033
mz_126,E06000033
mz_724,E06000034
mz_722,E06000034
mz_723,E06000034
mz_72,E06000034
mz_73,E06000034
mz_69,E06000034
mz_83,E06000034
mz_71,E06000034
mz_70,E06000034
mz_246,E06000035
mz_247,E06000035
mz_254,E06000035
mz_241,E06000035
mz_240,E06000035
mz_403,E06000035
mz_404,E06000035
mz_182,E06000036
mz_183,E06000036
mz_176,E06000036
mz_186,E06000037
mz_419,E06000037
mz_185,E06000037
mz_184,E06000037
mz_385,E06000038
mz_420,E06000038
mz_38,E06000039
mz_39,E06000039
mz_40,E06000039
mz_36,E06000040
mz_34,E06000040
mz_35,E06000040
mz_735,E06000040
mz_1487,E06000040
mz_387,E06000041
mz_391,E06000041
mz_390,E06000041
mz_389,E06000041
mz_388,E06000041
mz_158,E06000042
mz_157,E06000042
mz_147,E06000042
mz_196,E06000043
mz_197,E06000043
mz_179,E06000044
mz_169,E06000045
mz_173,E06000046
mz_181,E06000046
mz_376,E06000056
mz_165,E06000056
mz_145,E06000056
mz_334,E06000056
mz_146,E06000056
mz_375,E06000056
mz_425,E06000055
mz_424,E06000055
mz_426,E06000055
mz_373,E06000056
mz_374,E06000056
mz_357,E06000056
mz_358,E06000056
mz_139,E06000056
mz_149,E06000060
mz_150,E06000060
mz_161,E06000060
mz_156,E06000060
mz_159,E06000060
mz_160,E06000060
mz_155,E06000060
mz_46,E06000060
mz_44,E06000060
mz_45,E06000060
mz_49,E06000060
mz_47,E06000060
mz_50,E06000060
mz_48,E06000060
mz_42,E06000060
mz_43,E06000060
mz_627,E06000060
mz_41,E06000060
mz_736,E06000060
mz_1701,E06000060
mz_1726,E06000060
mz_361,E06000060
mz_365,E06000060
mz_362,E06000060
mz_364,E06000060
mz_360,E06000060
mz_153,E06000060
mz_154,E06000060
mz_363,E06000060
mz_359,E06000060
mz_290,E07000008
mz_294,E07000009
mz_284,E07000009
mz_282,E07000009
mz_283,E07000010
mz_286,E07000011
mz_287,E07000011
mz_414,E07000011
mz_377,E07000012
mz_378,E07000012
mz_384,E07000012
mz_293,E07000012
mz_289,E07000012
mz_288,E07000012
mz_292,E07000012
mz_291,E07000012
mz_285,E07000012
mz_312,E06000050
mz_312,E06000049
mz_320,E06000052
mz_313,E06000063
mz_313,E06000064
mz_306,E07000032
mz_306,E07000033
mz_306,E07000034
mz_306,E07000035
mz_306,E07000036
mz_306,E07000037
mz_312,E07000037
mz_306,E07000038
mz_306,E07000039
mz_321,E07000040
mz_321,E07000041
mz_321,E07000042
mz_321,E07000043
mz_321,E07000044
mz_321,E07000045
mz_321,E07000046
mz_321,E07000047
mz_407,E06000059
mz_279,E06000047
mz_198,E07000061
mz_235,E07000062
mz_234,E07000062
mz_224,E07000063
mz_226,E07000063
mz_225,E07000063
mz_227,E07000063
mz_401,E07000064
mz_238,E07000064
mz_402,E07000064
mz_236,E07000064
mz_276,E07000064
mz_237,E07000064
mz_228,E07000065
mz_231,E07000065
mz_229,E07000065
mz_233,E07000065
mz_232,E07000065
mz_208,E07000065
mz_230,E07000065
mz_353,E07000066
mz_336,E07000066
mz_130,E07000066
mz_129,E07000066
mz_354,E07000066
mz_381,E07000067
mz_115,E07000067
mz_382,E07000067
mz_114,E07000067
mz_74,E07000068
mz_75,E07000068
mz_104,E07000069
mz_107,E07000069
mz_108,E07000070
mz_351,E07000070
mz_349,E07000070
mz_350,E07000070
mz_352,E07000070
mz_348,E07000070
mz_347,E07000070
mz_109,E07000070
mz_131,E07000070
mz_394,E07000071
mz_392,E07000071
mz_393,E07000071
mz_721,E07000072
mz_718,E07000072
mz_719,E07000072
mz_64,E07000072
mz_66,E07000072
mz_67,E07000072
mz_1485,E07000072
mz_1486,E07000072
mz_13,E07000072
mz_12,E07000072
mz_68,E07000072
mz_10,E07000072
mz_65,E07000072
mz_366,E07000073
mz_123,E07000074
mz_122,E07000074
mz_125,E07000075
mz_105,E07000075
mz_124,E07000075
mz_106,E07000075
mz_113,E07000076
mz_112,E07000076
mz_120,E07000077
mz_110,E07000077
mz_119,E07000077
mz_118,E07000077
mz_111,E07000077
mz_103,E07000077
mz_121,E07000077
mz_117,E07000077
mz_116,E07000077
mz_325,E07000078
mz_325,E07000079
mz_325,E07000080
mz_325,E07000081
mz_325,E07000082
mz_325,E07000083
mz_422,E07000084
mz_421,E07000084
mz_423,E07000084
mz_188,E07000085
mz_187,E07000085
mz_189,E07000085
mz_192,E07000085
mz_191,E07000085
mz_190,E07000085
mz_170,E07000086
mz_171,E07000087
mz_172,E07000088
mz_177,E07000089
mz_411,E07000089
mz_412,E07000089
mz_408,E07000089
mz_409,E07000089
mz_410,E07000089
mz_180,E07000090
mz_406,E07000091
mz_405,E07000091
mz_331,E07000092
mz_178,E07000092
mz_166,E07000093
mz_168,E07000094
mz_167,E07000094
mz_53,E07000095
mz_54,E07000095
mz_55,E07000096
mz_57,E07000096
mz_58,E07000096
mz_77,E07000096
mz_76,E07000096
mz_134,E07000242
mz_367,E07000242
mz_368,E07000242
mz_355,E07000242
mz_138,E07000242
mz_356,E07000242
mz_135,E07000242
mz_141,E07000242
mz_137,E07000242
mz_140,E07000242
mz_136,E07000242
mz_677,E07000098
mz_1234,E07000098
mz_1235,E07000098
mz_1233,E07000098
mz_1230,E07000098
mz_675,E07000098
mz_1231,E07000098
mz_1232,E07000098
mz_737,E07000098
mz_1706,E07000098
mz_383,E07000099
mz_335,E07000099
mz_142,E07000099
mz_144,E07000099
mz_143,E07000099
mz_59,E07000240
mz_79,E07000240
mz_60,E07000240
mz_78,E07000240
mz_80,E07000240
mz_133,E07000243
mz_5,E07000102
mz_673,E07000102
mz_52,E07000102
mz_674,E07000102
mz_666,E07000102
mz_51,E07000102
mz_47,E07000102
mz_667,E07000102
mz_672,E07000102
mz_6,E07000102
mz_669,E07000102
mz_670,E07000102
mz_668,E07000102
mz_665,E07000102
mz_680,E07000103
mz_682,E07000103
mz_683,E07000103
mz_678,E07000103
mz_1279,E07000103
mz_1278,E07000103
mz_684,E07000103
mz_1277,E07000103
mz_681,E07000103
mz_1276,E07000103
mz_679,E07000103
mz_1707,E07000241
mz_82,E07000241
mz_62,E07000241
mz_63,E07000241
mz_81,E07000241
mz_400,E07000105
mz_257,E07000105
mz_258,E07000105
mz_256,E07000105
mz_399,E07000105
mz_259,E07000105
mz_268,E07000106
mz_396,E07000106
mz_395,E07000106
mz_266,E07000106
mz_267,E07000106
mz_18,E07000107
mz_501,E07000107
mz_506,E07000107
mz_509,E07000107
mz_507,E07000107
mz_19,E07000107
mz_20,E07000107
mz_503,E07000107
mz_508,E07000107
mz_502,E07000107
mz_504,E07000107
mz_261,E07000108
mz_339,E07000108
mz_260,E07000108
mz_340,E07000108
mz_262,E07000108
mz_244,E07000109
mz_245,E07000109
mz_239,E07000109
mz_242,E07000110
mz_337,E07000110
mz_248,E07000110
mz_251,E07000110
mz_249,E07000110
mz_21,E07000111
mz_22,E07000111
mz_24,E07000111
mz_84,E07000111
mz_1,E07000111
mz_20,E07000111
mz_101,E07000111
mz_23,E07000111
mz_1282,E07000111
mz_255,E07000112
mz_397,E07000112
mz_338,E07000112
mz_398,E07000112
